Island	Face	AlgalDensity	Nutrients
SanJuan	North	47.59	11.2969808
SanJuan	North	39.56	8.796913123
SanJuan	North	47.62	10.39996069
SanJuan	North	53.82	9.903146599
SanJuan	North	50.64	6.947449088
SanJuan	South	46.43	14.70284867
SanJuan	South	37.06	13.65588961
SanJuan	South	44.57	9.574014407
SanJuan	South	31.07	5.400469485
SanJuan	South	34.74	15.34114861
SanJuan	West	30.57	13.45992719
SanJuan	West	37.7	10.59145581
SanJuan	West	51.67	12.71694721
SanJuan	West	39.07	6.649714192
SanJuan	West	38.6	13.61414807
Lopez	North	41.81	22.49808079
Lopez	North	46.95	28.03865653
Lopez	North	45.22	14.16260045
Lopez	North	47.88	11.00581865
Lopez	North	52.1	17.3865046
Lopez	South	31.66	15.72783422
Lopez	South	34.96	18.54125712
Lopez	South	52.31	21.96180016
Lopez	South	48.13	22.24842302
Lopez	South	49.69	21.37591605
Lopez	West	54.84	9.012217176
Lopez	West	46.06	22.81208032
Lopez	West	54.54	28.3381845
Lopez	West	51.28	10.60948047
Lopez	West	38.03	22.50866997
Shaw	North	50.59	29.24374436
Shaw	North	47.09	18.37646934
Shaw	North	52.15	23.25089281
Shaw	North	40.19	21.75205509
Shaw	North	48.35	22.05214077
Shaw	South	34.21	27.93722341
Shaw	South	32.06	19.10181148
Shaw	South	54.77	21.1557892
Shaw	South	46.06	27.65784506
Shaw	South	54.05	24.87094867
Shaw	West	46.11	30.31583179
Shaw	West	37.78	20.51703163
Shaw	West	34.1	24.55089725
Shaw	West	30.38	18.70940293
Shaw	West	42.8	23.70957478
